week_num,avg_temp,city,country,lat,lon
44,9.79,Birmingham,United Kingdom,52.49,-1.86
44,11.33,Berlin,Germany,52.52,13.4
44,11.33,Krakau,Poland,50.08,19.92
44,11.44,Bremen,Germany,53.08,8.8
44,14.39,Rio Gallegos,Argentina,-51.63,-69.22
45,12.16,Birmingham,United Kingdom,52.49,-1.86
45,12.16,Rio Gallegos,Argentina,-51.63,-69.22
45,10.86,Berlin,Germany,52.52,13.4
45,8.06,Krakau,Poland,50.08,19.92
45,11.4,Amsterdam,Netherlands,52.37,4.89
45,-4.37,Irkutsk,Russia,52.27,104.33
45,10.86,Bremen,Germany,53.08,8.8
45,8.11,Minsk,Belarus,53.9,27.57
45,-15.46,Saskatoon,Canada,52.13,-106.67
45,13.2,Dublin,Ireland,53.33,-6.25
45,12.84,London,United Kingdom,51.52,-0.11
46,8.36,Dublin,Ireland,53.33,-6.25
46,7.57,Amsterdam,Netherlands,52.37,4.89
46,5.36,Bremen,Germany,53.08,8.8
46,-9.54,Saskatoon,Canada,52.13,-106.67
46,-1.24,Minsk,Belarus,53.9,27.57
46,-6.21,Irkutsk,Russia,52.27,104.33
46,9.57,London,United Kingdom,51.52,-0.11
46,4.23,Berlin,Germany,52.52,13.4
46,2.0,Krakau,Poland,50.08,19.92
46,13.19,Rio Gallegos,Argentina,-51.63,-69.22
46,8.0,Birmingham,United Kingdom,52.49,-1.86
47,7.89,Birmingham,United Kingdom,52.49,-1.86
47,-3.17,Minsk,Belarus,53.9,27.57
47,-2.81,Saskatoon,Canada,52.13,-106.67
47,1.7,Krakau,Poland,50.08,19.92
47,7.49,Amsterdam,Netherlands,52.37,4.89
47,-13.04,Irkutsk,Russia,52.27,104.33
47,3.24,Berlin,Germany,52.52,13.4
47,8.8,Dublin,Ireland,53.33,-6.25
47,4.71,Bremen,Germany,53.08,8.8
47,12.44,Rio Gallegos,Argentina,-51.63,-69.22
47,8.81,London,United Kingdom,51.52,-0.11
48,-18.26,Irkutsk,Russia,52.27,104.33
48,4.84,Birmingham,United Kingdom,52.49,-1.86
48,6.31,London,United Kingdom,51.52,-0.11
48,2.86,Bremen,Germany,53.08,8.8
48,-4.83,Minsk,Belarus,53.9,27.57
48,1.76,Berlin,Germany,52.52,13.4
48,12.14,Rio Gallegos,Argentina,-51.63,-69.22
48,8.0,Dublin,Ireland,53.33,-6.25
48,0.01,Krakau,Poland,50.08,19.92
48,-16.4,Saskatoon,Canada,52.13,-106.67
48,4.53,Amsterdam,Netherlands,52.37,4.89
49,-17.43,Saskatoon,Canada,52.13,-106.67
49,-4.24,Minsk,Belarus,53.9,27.57
49,1.14,Krakau,Poland,50.08,19.92
49,0.93,Berlin,Germany,52.52,13.4
49,1.2,Bremen,Germany,53.08,8.8
49,-15.1,Irkutsk,Russia,52.27,104.33
